100000008,cô dâu 15 tuổi (my little bride),"sang min là dân mỹ thuật, tính đào hoa thích theo đuổi các cô gái đẹp. trong lúc đang du học ở canada thì anh bị mẹ gọi về vì ông bệnh nặng. nào ngờ về nước anh mới phát hiện mình bị lừa để ép kết hôn với cô dâu ở tuổi trăng tròn - bo eun, theo lời đính ước của ông anh ngày trước."
100000019,thất đại tội (24 tập) (the seven deadly sins),"24 tập phim theo chân elizabeth, công chúa thứ ba của vương quốc liones trong hành trình đi tìm thất đại tội. cũng nhờ những người bạn đặc biệt này mà nàng công chúa bé nhỏ ngày nào không chỉ giành lại vương quốc từ tay thế lực hắc ám, mà còn giúp thế giới về lại thế cân bằng."
100000026,cô gái ngoài hành tinh (13 tập) (brynhildr in the darkness),"murakami luôn bị ám ảnh vì đã để người bạn thuở nhỏ - kuroneko chết trong một tai nạn. cậu gia nhập câu lạc bộ thiên văn là để chứng minh sự tồn tại của người ngoài hành tinh vì cô bạn ấy. một ngày nọ, nữ sinh giống hệt kuroneko chuyển tới lớp cậu nhưng với cái tên kurohaneko."
100000031,10 phần yêu (love is not all around),"dù là cô nàng ""sát giai"", có nhiều mánh lới ""dắt mũi"" đàn ông thì gia bảo cũng rơi vào mớ bòng bong giữa tình cũ, tình mới như thường. chưa hết, cô còn phải ""hứng"" những rắc rối, hiểu lầm từ việc ngoại tình của cậu bạn thân khi cố bảo vệ cô vợ mới cưới cũng là bạn thân nhất từ thời cấp 1."
100000042,lớp học ám sát (phần 2) (assassination classroom (season 2)),"các học sinh lớp 3e-1 bước vào học kỳ thứ hai. họ nhận nhiệm vụ ám sát giáo viên của mình, kẻ đe dọa sẽ phá hủy trái đất, trước khi tốt nghiệp. nhưng làm sao để một lớp toàn những học sinh cá biệt này có thể giết được người thầy giáo giỏi nhất mà họ từng có?"
100000050,những giây cuối cùng (the final countdown),"năm 1980, trong lúc tập trận ở hawaii, một cơn bão siêu nhiên xuất hiện, cuốn toàn bộ lính mỹ trên hàng không mẫu hạm trở về ngày 6/12/1941, một ngày trước trận trân châu cảng. những con người trên tàu đứng trước cơ hội đảo ngược cục diện lịch sử."
100000054,vua bịp đại chiến las vegas (the conmen in vegas),"tài tử điện ảnh số một hồng kông tiếp tục có màn hóa thân tuyệt vời khi vào vai vua cờ bạc họ vương, với âm mưu lừa đảo một số tiền lớn từ sòng bạc man đại nhãn đồi bại. đáng tiếc, tiền chưa kịp đến tay thì vương và đồng bọn đã gặp rắc rối với kẻ đứng sau những sới bạc ngầm."
100000059,vì yêu (a view of love),"marc sở hữu gần như mọi thứ mà một người đàn ông trung niên ao ước: gia đình, sự nghiệp, vợ đẹp, con ngoan. nhưng điều đó vẫn không thể ngăn anh lao vào mối tình nóng bỏng với người bạn thiếu thời cathy, cho đến khi phát hiện sự thật không thể tin nổi về cô gái từng là thanh mai trúc mã của đời mình."
100000061,cớm lưu manh (untouchable lawmen),"lee jung jin, một cảnh sát nắm đấm đi trước lời nói. jo yoo min, tay cớm hứng thú với phụ nữ hơn bắt tội phạm. khi hàng loạt vụ mất tích diễn ra và kẻ đứng sau lại có khả năng thao túng chính trị, hai con người lắm tài nhiều tật, bất chấp kỉ cương này lại trở thành hy vọng duy nhất."
100000069,yêu không dễ (64 tập) (yeu khong de),"quy tụ dàn diễn viên “hot”, phim xoay quanh những ân oán tình thù liên quan đến hai nhân vật chính hoàng quân và thu lan. gay cấn, kịch tính với những mối quan hệ chồng chéo, sự trả thù nhưng kết thúc, tình yêu chân thành và lòng vị tha sẽ hóa giải được tất cả."
100000071,em gái hai mặt (12 tập) (my two-faced little sister),"umaru là một cô ""hot girl"" xinh đẹp mới 16 tuổi đã nổi tiếng khắp thành phố. sống với anh trai, cô đóng vai một cô em chăm chỉ, ngoan ngoãn và được nhiều người ngưỡng mộ. nhưng trong một lần một người bạn đến thăm nhà, sự thật hoàn toàn ngược lại đã bị tiết lộ."
100000072,cao bồi đại chiến khủng long (cowboys vs dinosaurs),"sau một vụ nổ mỏ, loài khủng long tưởng như đã tuyệt chủng bỗng xuất hiện từ đống đổ nát và tấn công một thị trấn nhỏ phía tây. một nhóm các cao bồi được tập hợp để chiến đấu chống lại loài bò sát khổng lồ. phần thắng trong cuộc đấu không cân sức này sẽ thuộc về ai?"
100000080,mat-xcơ-va tình yêu của tôi (moscow my love),"bản tình ca tuyệt đẹp ca ngợi mối tình không biên giới giữa cô diễn viên múa ba-lê tài năng, xinh đẹp người nhật và chàng trai nga. xa nhà, xa người thân, yuriko ono vật lộn với bệnh tật hiểm nghèo trong vòng tay ướt nước mắt của người cô gửi trọn trái tim tại mát-xcơ-va hoa lệ."
100000100,hội pháp sư ngoại truyện (10 tập) (fairy tail zero),"chuyển thể từ phần ngoại truyện của bộ truyện tranh cùng tên đình đám, bộ phim chứa đựng các bí ẩn về những người sáng lập hội fairy tail cùng giai thoại về họ. phim còn đề cập tới cuộc gặp gỡ định mệnh của hội trưởng đầu tiên mavis với các hội viên và đại pháp sư hắc ám zeref."
